scenario,total_cost,total_revenue,profit,stockout_rate,service_level,inventory_turnover
42859,451406,327763,-123643,0.677778,0.470333,205.237
42860,456143,288400,-167743,0.722222,0.419567,190.194
42861,455409,321700,-133709,0.716667,0.451864,213.847
42862,454615,302443,-152172,0.727778,0.426955,197.551
42863,444338,325679,-118660,0.677778,0.478597,187.579
42864,462608,279700,-182908,0.75,0.39922,178.617
42865,450703,330217,-120486,0.694444,0.478596,195.673
42866,453317,329289,-124028,0.666667,0.468709,192.816
42867,443710,314311,-129400,0.677778,0.46202,188.845
42868,449671,305652,-144018,0.722222,0.439072,195.329
42869,443303,321400,-121903,0.683333,0.471499,187.201
42870,464461,326300,-138161,0.666667,0.475734,172.047
42871,460245,283200,-177045,0.727778,0.400579,175.17
42872,452832,322247,-130584,0.711111,0.460331,210.367
42873,444677,312418,-132259,0.672222,0.456348,175.448
42874,461698,330000,-131698,0.677778,0.475895,178.129
42875,442107,312200,-129907,0.7,0.452545,185.466
42876,434028,329407,-104622,0.672222,0.487493,190.051
42877,440703,320110,-120593,0.677778,0.470547,189.469
42878,446763,293000,-153763,0.711111,0.430324,176.482
42879,460976,296055,-164922,0.738889,0.419572,206.238
42880,451076,325082,-125993,0.677778,0.470732,178.725
42881,446372,317560,-128811,0.688889,0.461884,171.285
42882,449871,312000,-137871,0.711111,0.449051,186.324
42883,458095,310563,-147532,0.711111,0.434003,199.228
42884,445172,318615,-126557,0.672222,0.46899,177.937
42885,451649,330151,-121498,0.661111,0.473704,192.252
42886,445644,331300,-114344,0.672222,0.480118,184.182
42887,448040,326000,-122040,0.683333,0.473545,192.822
42888,449805,310299,-139505,0.694444,0.457293,192.719
42889,441591,316345,-125246,0.677778,0.461517,186.321
42890,450550,287900,-162650,0.711111,0.430497,181.289
42891,443617,333699,-109918,0.672222,0.490557,195.222
42892,462003,309641,-152362,0.7,0.449916,175.966
42893,438787,344585,-94202,0.666667,0.501887,201.285
42894,445655,305824,-139832,0.688889,0.446694,188.093
42895,459027,290126,-168901,0.711111,0.424542,174.27
42896,453822,312300,-141522,0.716667,0.443496,192.41
42897,462579,316619,-145960,0.733333,0.448415,231.348
42898,458745,314918,-143827,0.711111,0.447495,179.522
42899,455910,316409,-139501,0.7,0.461997,185.986
42900,442843,303719,-139124,0.694444,0.453559,184.933
42901,454366,282900,-171466,0.738889,0.414027,166.979
42902,446119,306900,-139219,0.733333,0.448868,215.103
42903,455756,311013,-144743,0.7,0.444509,178.033
42904,442177,320279,-121898,0.655556,0.474037,163.844
42905,449522,321100,-128422,0.7,0.461631,197.336
42906,449200,319502,-129698,0.688889,0.462725,186.876
42907,451036,328686,-122351,0.7,0.473912,211.139
42908,448531,311390,-137141,0.694444,0.450276,191.948
42909,446959,282233,-164726,0.727778,0.417129,171.737
42910,450945,314093,-136852,0.672222,0.462189,182.161
42911,448363,310974,-137389,0.688889,0.456829,165.884
42912,455494,292200,-163294,0.722222,0.422916,176.81
42913,458059,299346,-158714,0.7,0.433578,170.458
42914,452550,344672,-107878,0.655556,0.498686,201.207
42915,442777,314883,-127894,0.683333,0.465977,191.071
42916,460673,308100,-152573,0.727778,0.423813,210.698
42917,459566,297960,-161606,0.716667,0.420083,195.186
42918,441839,331600,-110239,0.683333,0.480793,191.966
42919,460853,333526,-127326,0.705556,0.46767,218.617
42920,448199,319270,-128929,0.694444,0.462048,195.618
42921,449965,319908,-130057,0.7,0.468739,198.543
42922,446635,323872,-122763,0.683333,0.475379,203.992
42923,454127,296405,-157722,0.705556,0.428789,165.189
42924,450212,331800,-118412,0.65,0.485097,174.958
42925,455991,318300,-137691,0.705556,0.448102,196.949
42926,439969,309365,-130604,0.677778,0.458549,174.017
42927,437309,330441,-106868,0.655556,0.485799,174.745
42928,451340,311059,-140281,0.722222,0.439731,220.281
42929,442003,308000,-134003,0.705556,0.457171,180.752
42930,448210,309549,-138661,0.694444,0.448296,203.513
42931,448448,320874,-127574,0.683333,0.47206,176.936
42932,447551,309345,-138205,0.688889,0.449486,194.208
42933,459628,282900,-176728,0.738889,0.408795,177.171
42934,455828,306599,-149229,0.722222,0.437826,218.244
42935,439652,311882,-127771,0.683333,0.456738,168.518
42936,450858,316038,-134820,0.7,0.460003,201.877
42937,458112,299000,-159112,0.7,0.422136,173.805
42938,453188,301476,-151712,0.688889,0.438438,169.825
42939,447253,332100,-115153,0.672222,0.480883,188.063
42940,432941,343291,-89649.7,0.666667,0.516647,204.213
42941,455610,310002,-145608,0.716667,0.442327,199.575
42942,439362,293200,-146162,0.711111,0.432712,153.997
42943,459939,329650,-130290,0.672222,0.470699,190.557
42944,460229,307348,-152880,0.683333,0.43592,199.292
42945,449270,295459,-153812,0.694444,0.435353,176.262
42946,456078,300787,-155291,0.711111,0.4284,179.637
42947,432326,298000,-134326,0.716667,0.440343,179.115
42948,445076,300466,-144610,0.722222,0.436103,191.424
42949,470586,297160,-173425,0.716667,0.422524,170.699
42950,451785,326100,-125685,0.661111,0.477819,173.018
42951,438261,312500,-125761,0.672222,0.461017,158.689
42952,450571,314253,-136318,0.711111,0.454507,200.183
42953,453115,312300,-140815,0.716667,0.446001,198.549
42954,446588,303200,-143388,0.688889,0.442319,179.794
42955,456247,315247,-141000,0.711111,0.436045,217.56
42956,445452,307300,-138152,0.694444,0.445553,174.167
42957,454718,303600,-151118,0.7,0.435101,181.11
42958,442933,316470,-126462,0.688889,0.456336,169.834
42959,450914,315513,-135401,0.672222,0.459657,178.215
42960,454579,324879,-129700,0.661111,0.46694,189.831
42961,458575,326330,-132246,0.694444,0.464285,203.683
42962,442051,314022,-128029,0.688889,0.461562,188.527
42963,443097,304310,-138787,0.694444,0.442277,191.59
42964,436772,315387,-121385,0.683333,0.464263,183.66
42965,449382,333623,-115759,0.677778,0.484611,202.922
42966,453368,323671,-129697,0.683333,0.470324,197.686
42967,446905,312600,-134305,0.688889,0.449274,181.607
42968,460867,316200,-144668,0.705556,0.449666,186.024
42969,457550,298200,-159350,0.711111,0.423034,188.097
42970,448854,321600,-127254,0.683333,0.465921,179.324
42971,446545,301342,-145203,0.7,0.442943,168.237
42972,473514,315263,-158251,0.716667,0.439074,200.71
42973,450137,355400,-94737,0.661111,0.500986,216.76
42974,436725,316700,-120025,0.716667,0.461834,195.082
42975,446116,310907,-135209,0.672222,0.458569,185.762
42976,450323,326500,-123823,0.688889,0.469267,200.556
42977,446629,316800,-129829,0.688889,0.464004,186.144
42978,457225,289926,-167299,0.722222,0.425499,183.949
42979,461828,305093,-156735,0.716667,0.439164,194.002
42980,443609,314582,-129027,0.705556,0.457154,214.177
42981,441753,306800,-134953,0.716667,0.442412,181.668
42982,452243,319292,-132951,0.7,0.456125,200.541
42983,443928,313113,-130816,0.7,0.447165,194.534
42984,443919,300155,-143764,0.716667,0.446863,179.714
42985,465856,290630,-175226,0.7,0.424886,166.334
42986,458101,301700,-156401,0.7,0.440077,175.426
42987,442802,320600,-122202,0.683333,0.478801,200.186
42988,454603,326200,-128403,0.677778,0.464882,204.384
42989,457720,338500,-119220,0.672222,0.480483,210.12
42990,436271,324714,-111556,0.688889,0.483031,188.365
42991,440228,306419,-133809,0.677778,0.450459,167.548
42992,459911,331200,-128711,0.7,0.461501,215.175
42993,458278,295722,-162557,0.716667,0.430992,197.217
42994,445713,321139,-124574,0.694444,0.460656,207.194
42995,443731,312100,-131631,0.722222,0.463305,170.094
42996,444025,322650,-121375,0.661111,0.477555,170.432
42997,459623,311000,-148623,0.716667,0.450514,210.661
42998,446393,301700,-144693,0.694444,0.449073,176.768
42999,455812,314613,-141199,0.7,0.455392,192.496
43000,455387,323577,-131811,0.672222,0.472813,178.846
43001,436356,307300,-129056,0.683333,0.455627,191.434
43002,464220,321120,-143100,0.705556,0.451794,229.556
43003,461536,330689,-130847,0.705556,0.464139,193.944
43004,454000,309651,-144349,0.738889,0.436487,228.881
43005,449592,296112,-153480,0.727778,0.432223,183.679
43006,451533,286381,-165152,0.722222,0.430813,167.194
43007,449383,311362,-138021,0.694444,0.451152,178.654
43008,448488,295386,-153102,0.705556,0.436992,187.66
43009,437326,319915,-117411,0.688889,0.468273,182.035
43010,458999,315285,-143715,0.705556,0.459727,207.154
43011,444719,306575,-138144,0.688889,0.447675,172.07
43012,462199,305742,-156457,0.694444,0.428067,204.65
43013,442638,324325,-118313,0.666667,0.476503,179.153
43014,442416,314791,-127625,0.7,0.46614,173.403
43015,451992,319515,-132476,0.683333,0.471773,185.074
43016,459866,306284,-153582,0.694444,0.444189,173.21
43017,444669,305206,-139463,0.683333,0.450976,159.723
43018,454381,294893,-159488,0.716667,0.421412,214.622
43019,463977,321290,-142688,0.705556,0.45444,202.524
43020,446340,334290,-112050,0.672222,0.490637,215.186
43021,459060,302300,-156760,0.7,0.437317,175.617
43022,462618,316496,-146121,0.711111,0.449319,195.316
43023,427872,319184,-108688,0.705556,0.480423,178.574
43024,448199,311066,-137132,0.716667,0.450493,199.604
43025,439508,317146,-122362,0.705556,0.46788,171.835
43026,444655,297734,-146921,0.705556,0.433087,176.131
43027,450274,302200,-148074,0.7,0.443229,172.098
43028,443325,316800,-126525,0.705556,0.458686,190.535
43029,442289,314632,-127657,0.7,0.455243,189.964
43030,452022,311500,-140522,0.7,0.447798,200.208
43031,464041,304250,-159791,0.716667,0.425351,180.069
43032,452536,311600,-140936,0.672222,0.463347,163.56
43033,440975,304072,-136903,0.733333,0.439265,188.539
43034,453432,316800,-136632,0.694444,0.449353,175.614
43035,452937,307200,-145737,0.705556,0.443767,171.58
43036,449072,316300,-132772,0.711111,0.456606,184.709
43037,454335,296438,-157897,0.711111,0.426237,172.905
43038,466612,309691,-156921,0.7,0.432657,221.535
43039,450133,297500,-152633,0.722222,0.437314,184.641
43040,457266,335111,-122155,0.694444,0.474815,234.989
43041,463393,314686,-148707,0.705556,0.445546,217.863
43042,445112,310659,-134453,0.705556,0.45569,197.497
43043,429726,319347,-110380,0.661111,0.486335,175.77
43044,458815,316500,-142315,0.694444,0.453037,200.066
43045,451890,322300,-129590,0.7,0.463369,198.738
43046,433054,310289,-122765,0.683333,0.460614,166.625
43047,439158,312000,-127158,0.694444,0.456222,181.559
43048,450692,316500,-134192,0.7,0.447731,203.081
43049,459664,319922,-139742,0.694444,0.45835,191.249
43050,441526,282456,-159070,0.7,0.419316,185.28
43051,458322,314995,-143327,0.694444,0.452674,190.176
43052,446885,311704,-135181,0.7,0.457536,193.321
43053,456829,307600,-149229,0.716667,0.438735,191.783
43054,454368,305069,-149299,0.683333,0.439397,185.19
43055,449744,333426,-116318,0.711111,0.479465,231.134
43056,436206,329875,-106330,0.688889,0.48638,172.044
43057,437771,293000,-144771,0.716667,0.43037,171.555
43058,443886,321700,-122186,0.705556,0.466341,199.739
43059,451498,310803,-140695,0.694444,0.450655,196.959
43060,452331,358974,-93357.8,0.655556,0.51465,205.378
43061,446480,298686,-147794,0.705556,0.431737,186.686
43062,461930,307000,-154930,0.716667,0.440775,199.078
43063,451957,298700,-153257,0.727778,0.426808,185.947
43064,463515,297300,-166215,0.7,0.436369,169.181
43065,453464,306003,-147460,0.705556,0.436434,174.299
43066,453582,303100,-150482,0.7,0.438675,174.364
43067,452322,317500,-134822,0.677778,0.45629,171.217
43068,460233,303300,-156933,0.744444,0.418255,219.476
43069,455320,316392,-138929,0.677778,0.456522,185.638
43070,448476,316374,-132102,0.705556,0.452861,200.496
43071,451301,298063,-153238,0.711111,0.437951,200.464
43072,459280,301754,-157527,0.705556,0.426543,189.081
43073,440051,322158,-117893,0.7,0.47498,182.242
